Actions,Name,Status,Cost,Publisher Revenue,Profit,ROI,CPA,EPA
"=""""","=""S1 - PAY - Credito Negocios - prestamos-para-negocios-intl.xyz (2)""","=""RUNNING""","=""29.739999999999995""","=""25.770000000000003""","=""-3.9699999999999918""","=""-13.349024882313357""","=""0.055381750465549336""","=""0.04798882681564246"""
"=""""","=""S1 - COL - Cursos tecnicos online - cursos-tecnicos-online.xyz""","=""PAUSED""","=""29.429999999999996""","=""18.5""","=""-10.929999999999996""","=""-37.13897383622153""","=""0.11319230769230768""","=""0.07115384615384615"""
"=""""","=""S1 - PA - Refinanciamiento deuda - refinanciacion-de-deuda.xyz""","=""RUNNING""","=""25.420000000000005""","=""25.029999999999998""","=""-0.3900000000000077""","=""-1.5342250196695815""","=""0.05981176470588236""","=""0.05889411764705882"""
"=""""","=""S1 - MARR - Prestamos Rapidos - prestamos-online-rapidos-intl.xyz (Dinamico)""","=""RUNNING""","=""25.15""","=""32.849999999999994""","=""7.699999999999996""","=""30.616302186878713""","=""0.01994448850118953""","=""0.026050753370340993"""
"=""""","=""S1 - IND - Prestamos estatales - state-loans-intl.xyz (Dinamico)""","=""RUNNING""","=""24.62""","=""16.8""","=""-7.82""","=""-31.762794476035744""","=""0.06361757105943153""","=""0.043410852713178294"""
"=""""","=""S1 - BO - Prestamos Rapidos - prestamos-online-rapidos-intl.xyz (2)""","=""RUNNING""","=""23.84""","=""25.559999999999995""","=""1.7199999999999953""","=""7.214765100671121""","=""0.02155515370705244""","=""0.02311030741410488"""
"=""""","=""S1 - NIG - Prestamos estatales - state-loans-intl.xyz""","=""RUNNING""","=""23.17""","=""24.78""","=""1.6099999999999994""","=""6.9486404833836835""","=""0.05081140350877193""","=""0.0543421052631579"""
"=""""","=""S1 - ZIMB - Becas Irlanda - scholarships-to-study-in-ireland.xyz""","=""RUNNING""","=""22.960000000000004""","=""30.120000000000005""","=""7.16""","=""31.18466898954703""","=""0.03898132427843804""","=""0.05113752122241087"""
"=""""","=""S1 - UGA - Curso IA gratis - free-ai-courses-intl.xyz""","=""PAUSED""","=""22.299999999999997""","=""6.91""","=""-15.389999999999997""","=""-69.01345291479821""","=""0.27874999999999994""","=""0.08637500000000001"""
"=""""","=""S1 - COL - Microcredito Personal - microcredito-personal.xyz""","=""RUNNING""","=""21.869999999999997""","=""31.57""","=""9.700000000000003""","=""44.35299497027894""","=""0.055088161209068""","=""0.07952141057934509"""
"=""""","=""S1 - PR - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz (Dinamico)""","=""RUNNING""","=""19.44""","=""18.209999999999997""","=""-1.230000000000004""","=""-6.32716049382718""","=""0.13985611510791368""","=""0.1310071942446043"""
"=""""","=""S1 - ALB - Prestamos estatales - state-loans-intl.xyz (Dinamico)""","=""PAUSED""","=""19.110000000000003""","=""8.45""","=""-10.660000000000004""","=""-55.782312925170075""","=""0.032835051546391755""","=""0.01451890034364261"""
"=""""","=""S1 - CL - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz (Dinamico)""","=""RUNNING""","=""18.979999999999997""","=""9.97""","=""-9.009999999999996""","=""-47.47102212855636""","=""0.1997894736842105""","=""0.10494736842105264"""
"=""""","=""S1 - CR - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz (Dinamico)""","=""RUNNING""","=""18.919999999999998""","=""16.05""","=""-2.8699999999999974""","=""-15.169133192388994""","=""0.1911111111111111""","=""0.16212121212121214"""
"=""""","=""S1 - BOTSW - Becas Irlanda - scholarships-to-study-in-ireland.xyz""","=""RUNNING""","=""17.93""","=""25.86""","=""7.93""","=""44.22755158951478""","=""0.0321326164874552""","=""0.046344086021505373"""
"=""""","=""S1 - NIG - Curso IA gratis - free-ai-courses-intl.xyz""","=""RUNNING""","=""17.470000000000002""","=""20.840000000000003""","=""3.370000000000001""","=""19.290211791642818""","=""0.07101626016260164""","=""0.08471544715447156"""
"=""""","=""S1 - MEX - Celulares baratos - celulares-baratos.xyz (Dinamico)""","=""RUNNING""","=""15.629999999999999""","=""12.09""","=""-3.539999999999999""","=""-22.64875239923224""","=""0.05542553191489361""","=""0.04287234042553192"""
"=""""","=""S1 - CL - Celulares baratos - celulares-baratos.xyz (Dinamico)""","=""RUNNING""","=""15.610000000000001""","=""15.960000000000003""","=""0.3500000000000014""","=""2.2421524663677217""","=""0.03699052132701422""","=""0.037819905213270145"""
