0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Date,Campaign Domain,Total Sessions,Mobile Sessions,Desktop Sessions,Mobile Sessions %,Distinct IPs,Distinct Mobile IPs,Distinct Desktop IPs,Distinct Mobile IPs %,Searches,Clicks,Estimated Gross Revenue,Revenue Per Session,Revenue Per Search,Revenue Per IP,Revenue Per Click,Clicks Per Session %
2023-09-30,a-great-usa-unsold-laptops.zone,18,8,10,44.44,16,6,10,37.5,0,0,0,0,0,0,0,0
2023-09-30,a-great-za-bikes.zone,171,162,9,94.74,161,153,8,95.03,156,70,5.21,0.03,0.03,0.03,0.07,40.94
2023-09-30,a-great-za-jobs.fyi,13,3,10,23.08,13,3,10,23.08,0,0,0,0,0,0,0,0
2023-09-30,a-great-za-used-cars.fyi,21,8,13,38.1,20,8,12,40,0,0,0,0,0,0,0,0
2023-09-30,a-prime-ae-used-cars.zone,25,13,12,52,22,10,12,45.45,5,4,1.17,0.05,0.23,0.05,0.29,16
2023-09-30,a-prime-ar-cursos-online.fyi,152,139,13,91.45,122,112,11,91.8,157,104,4.69,0.03,0.03,0.04,0.05,68.42
2023-09-30,a-prime-ar-cyber-monday.fyi,20,1,19,5,19,1,18,5.26,0,0,0,0,0,0,0,0
2023-09-30,a-prime-ar-motocicleta.fyi,26,7,19,26.92,19,7,14,36.84,0,0,0,0,0,0,0,0
2023-09-30,a-prime-argentina-grants.zone,27,20,7,74.07,24,17,7,70.83,12,8,0.21,0.01,0.02,0.01,0.03,29.63
2023-09-30,a-prime-australia-unsold-phones.fyi,16,5,11,31.25,15,5,10,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-prime-bangladesh-marketing-courses.zone,14,5,9,35.71,12,3,9,25,0,0,0,0,0,0,0,0
2023-09-30,a-prime-bo-paginas-web.zone,49,37,12,75.51,18,6,12,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-prime-ca-christmas-gaming-laptops.zone,26,5,21,19.23,17,3,15,17.65,0,0,0,0,0,0,0,0
2023-09-30,a-prime-ca-christmas-laptops.fyi,9,2,7,22.22,9,2,7,22.22,0,0,0,0,0,0,0,0
2023-09-30,a-prime-ca-hair-transplant.zone,14,8,6,57.14,12,6,6,50,0,0,0,0,0,0,0,0
2023-09-30,a-prime-canada-cheap-airline-tickets.fyi,18,4,14,22.22,17,4,13,23.53,0,0,0,0,0,0,0,0
2023-09-30,a-prime-cell-plan-us.zone,66,27,39,40.91,23,6,17,26.09,0,0,0,0,0,0,0,0
2023-09-30,a-prime-chile-televisores.zone,21,6,15,28.57,18,4,14,22.22,0,0,0,0,0,0,0,0
2023-09-30,a-prime-cl-autos-usados.fyi,8,1,7,12.5,7,1,6,14.29,0,0,0,0,0,0,0,0
2023-09-30,a-prime-cl-autos-usados.zone,12,7,5,58.33,10,5,5,50,3,3,0.15,0.01,0.05,0.02,0.05,25
2023-09-30,a-prime-cl-hipoteca.fyi,17,8,9,47.06,13,5,8,38.46,0,0,0,0,0,0,0,0
2023-09-30,a-prime-co-coches-usados.fyi,10,1,9,10,9,1,8,11.11,0,0,0,0,0,0,0,0
2023-09-30,a-prime-co-curso-de-programacion.fyi,13,0,13,0,11,0,11,0,0,0,0,0,0,0,0,0
2023-09-30,a-prime-co-mba-en-linea.fyi,26,5,21,19.23,17,3,14,17.65,0,0,0,0,0,0,0,0
2023-09-30,a-prime-co-ordenador-portatil.zone,16,6,10,37.5,13,4,9,30.77,0,0,0,0,0,0,0,0
2023-09-30,a-prime-co-prestamos.fyi,2,1,1,50,2,1,1,50,0,0,0,0,0,0,0,0
2023-09-30,a-prime-co-publicidad-digital.fyi,20,8,12,40,18,6,12,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-prime-co-tarjeta-de-credito.zone,22,6,16,27.27,13,4,9,30.77,0,0,0,0,0,0,0,0
2023-09-30,a-prime-co-tarjetas-de-credito.fyi,14,2,12,14.29,14,2,12,14.29,0,0,0,0,0,0,0,0
2023-09-30,a-prime-co-trabajos-en-linea.fyi,156,138,18,88.46,124,110,14,88.71,131,87,5.27,0.03,0.04,0.04,0.06,55.77
2023-09-30,a-prime-co-trabajos.fyi,12,4,8,33.33,11,4,7,36.36,0,0,0,0,0,0,0,0
2023-09-30,a-prime-colombia-maestria-en-linea.fyi,16,4,12,25,15,4,11,26.67,0,0,0,0,0,0,0,0
2023-09-30,a-prime-columbia-cursos-de-marketing-digital.fyi,9,3,6,33.33,9,3,6,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-prime-columbia-subsidios.fyi,15,3,12,20,13,3,10,23.08,0,0,0,0,0,0,0,0
2023-09-30,a-prime-curso-marketing-digital.fyi,13,1,12,7.69,11,1,10,9.09,0,0,0,0,0,0,0,0
2023-09-30,a-prime-curso-marketing-digital.zone,24,3,21,12.5,17,1,16,5.88,0,0,0,0,0,0,0,0
2023-09-30,a-prime-cursos-de-marketing-digital-en-linea.fyi,15,6,9,40,13,5,8,38.46,0,0,0,0,0,0,0,0
